"AÑO 
(Año de registro)","AUTORIDAD AMBIENTAL
(Donde se encuentra el Negocio Verde)","REGIÓN
(Donde se encuentra el Negocio Verde)","DEPARTAMENTO
(Donde se encuentra el Negocio Verde)","MUNICIPIO
(Donde se encuentra el Negocio Verde)","RAZÓN SOCIAL
(Del Negocio Verde)","Descripción
(Del Negocio Verde)","CATEGORÍA
(Del Negocio Verde)","SECTOR
(Al cual pertenece el Negocio Verde)","SUBSECTOR
(Al cual pertenece el Negocio Verde)","Producto Principal
(Que promueve el Negocio Verde)","CATEGORÍA COMERCIAL
(Al cual pertenece el Negocio Verde)","NOMBRE REPRESENTANTE
(Del Negocio Verde)"
2022,CAM,No registra,Huila,Garzón,El Cedral Garzón SAS,"Empresa familiar, formalizada en el año 2013, se creó con la construcción del embalse del Quimbo, en la cual de identificó la necesidad de aprovechar o recuperar los residuos de la madera resultado de la construcción del embalse. Estos residuos de madera, son transformados por medio de pirolisís, método que es avalado por la FAO.  Este proceso se desarrolla con el permiso emitido por la Autoridad Ambiental -CAM, el resultado final que es el Carbón Vegetal es empacado en lonas las cuales son recolectadas de las avícolas, son lavadas y reutilizadas para empacar el producto final que es el carbón vegetal para su posterior comercialización; se está trabajando en unas lonas biodegradables para el empacado. También se aprovecha los residuos más pequeños que son utilizados en una menor proporción como abono en diferentes cultivos de la región. Finalmente en los diferentes proyectos que realiza hace la reubicación de plantas epifitas de ser necesario, las anteriores acciones tienen como resultado el cierre del ciclo de vida de la madera. La promoción de sus productos es por medio de un portafolio el cual se encuentra en actualización, ademas desarrollan visitas a las empresas regionales y algunas nacionales donde pueda ver aprovechamiento de madera y dispongan residuos a los cuales poder darle la transformación. Ha logrado la certificación de categoría Plata, que es otorgada por la Autoridad Ambiental CAM, por su trabajo con madera de una manera legal y bajo los parámetros establecidos.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.2. Agroindustria Sostenible,1.2.2. Agroindustrial no alimentario,Carbón Vegetal,No registra,Manuel Fernado Ramos Bonelo
2022,CORPOAMAZONÍA,No registra,Caquetá,Florencia - Caq,ASOCIACION DE EBANISTAS DE FLORENCIA - ASOEFA,"La asociación de ebanistas de Florencia está conformado desde el año 2014 por grupo de talleres familiares que benefician a más de 30 personas que se dedican a la elaboración artesanal de todo tipo de muebles para el hogar, la oficina y tablas de queso;  elaborados con el encadenamiento productivo de maderas legales de la amazonia colombiana, tales como: Achapo (Cedrelinga cateniformes); Amarillo (Ocotea sp); Laurel (Aniba sp); Perillo (Couma mascrocarpa); Marfil (Simarouba amara). Estas maderas provienen de bosques que tienen planes de manejo autorizados y permisionados por la Autoridad Ambiental; también utilizan en baja escala las maderas prensadas (MDF, RH y otras). 
Esta asociación se ha visto beneficiada a partir del apoyo brindado por ProBosques - Giz, con la construcción de su modelo de negocio a fin de visibilizar la procedencia legal de la madera con esquemas de reconocimiento a la procedencia legal (emitidos por Corpoamazonia); de igual forma, han incluido procesos de sostenibilidad teniendo en cuenta los criterios de negocios verdes y procesos de innovación y mejores técnicas de calidad, como por ejemplo el uso de cera de abejas como barniz para el terminado de las piezas. De esta manera, generan impactos ambientales positivos como: Conservación, Educación y cultura Ambienta, Contribución al Mantenimiento de los Servicios Ecosistémicos y Disminución sobre la Presión del Recurso.
Por otro lado, han recibido capacitaciones en fortalecimiento organizacional, modelo de negocio asociativo, habilidades blandas y capacitaciones técnicas con el SENA. También, han generado procesos de sensibilización para reconocer la labor de las mujeres en la elaboración de muebles (pintura y acabados), así como, involucrar a jóvenes en las capacitaciones, dónde actualmente participan cerca de 20 de ellos (principalmente mujeres) del colegio tecnológico de Florencia.
Por este modelo de negocio caracterizado por su impacto socio ambiental les ha permitido cerrar una negociación con Alpina para la fabricación de las tablas de queso navideñas, de esta manera, la empresa compradora deja de importar estas tablas de China, las cuales eran a base de bambú, para apoyar el negocio Colombiano que promueve impactos ambientales positivos en áreas de alta deforestación.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.3. Biocomercio,1.3.5. Maderables,Transformación de madera legal - Tablas de Queso,No registra,Edelberto Cardoso Cano
2022,CAM,No registra,Huila,Hobo,Café Montefrío SAS,"Café Monte Frío SAS, comercializa café tostado, molido y empacado, el cual es cultivado en la vereda Batan del municipio de Hobo, Huila. Esta producción de café, se destaca porque su cultivo es manejado de manera agroecológica, esto se hace con la generación de caldos microbiales, la pulpa del café, materia orgánica y no se usan insecticidas o herbicidas químicos. Para el vertimiento de las aguas mieles se le hace un pequeño tratamiento con filtros, y finalmente poseen trampas de grasas y pozos sépticos. En la finca promuévanla  conservación del agua, la flora y fauna, al tener áreas de reserva natural, incluido nacimiento de aguas. El café es comercializado en un parador ubicado sobre la vía nacional y una cafetería ubicada en el centro de la ciudad de Neiva. También promociona sus producción agroecológica con distintas comunidades, nacionales e internacionales, tiene la visibilidad de empacar el Café en bolsas biodegradables. Reconocimientos como taza a la excelencia en el año 2012 y  7 puesto en feria Café de Huila. Ha obtenido sellos importantes para su empresa como lo son Rainforest Alliance Certified y Comercio Justo.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.2. Agroindustria Sostenible,1.2.1. Agroindustrial alimentario,Café tostado y molido,No registra,José Herminzul Ninco Lara
2022,CAM,No registra,Huila,Neiva,Eco-Smile SAS,"Empresa legalizada en el año 2012, dedicada a la recolección de residuos sólidos inorgánicos y su posterior transformación en mobiliario sostenible. Los residuos sólidos recolectados, se acopian en la planta ubicada en la ciudad de Neiva y posteriormente se dirigen para la ciudad del Guamo, en donde se procesa el PET, plástico postindustrial reciclado para finalmente obtener los insumos necesarios, que serán transformados en mobiliario sostenible, el cual es comercializado a instituciones públicas y privadas de la región. Los demás residuos inorgánicos como lo son el papel, metales, vidrio y cartón, son acopiados en la bodega, para su posterior compactación y finalmente ser comercializados. Se evidencia un impacto ambiental positivo al lograr la disminución de material dirigido a los rellenos sanitarios. La actividad va acompañada de capacitaciones en temas ambientales enfocados a comunidades e instituciones educativas, donde realizan la recolección o donde se ejecuta algún proyecto de mobiliario sostenible.",2. Ecoproductos Industriales,2.1. Aprovechamiento y valoración de Residuos,2.1.2. Aprovechamiento de residuos inorgánicos,Mobiliario sostenible,No registra,Juan Diego Fierro Cifuentes
2022,CAM,No registra,Huila,Paicol,Asociación de Recicladores Amigos del Planeta - ASOR,"Asociación conformada en su mayoría por jóvenes emprendedores, la cual nace en el año 2019, con ek fin de generar educación en el aprovechamiento de residuos en el municipio, además de concientizar a la población de la importancia y beneficios del reciclaje de residuos sólidos inorgánicos producidos por cada uno de los habitantes de Paicol. La recolección de los residuos sólidos se hace con una planeación estratégica, por medio de diseño de rutas de recolección, la cual es acopiado, reducen tamaño de los residuos sólidos inorgánicos, todo esto en la bodega, y finalmente es comercializado a la empresa  Oikos de Vida, la cual se encarga de procesar estos residuos. Realizan jornada de limpieza en cuencas hídricas, crean artesanías con los residuos sólidos y posteriormente quedan a la venta del público, recolectan aceite de cocina usado, el cual es transformado empíricamente en jabón para lavar loza. Son reconocidos a nivel regional por su actividad, realizan  capacitaciones de tipo ambiental en algunos colegios. Participan en ferias de tipo regional. Todas las actividades tienen como finalidad aportar a la mitigación de la contaminación ambiental y generación de conciencia y cuidado del entorno del ser humano.",2. Ecoproductos Industriales,2.1. Aprovechamiento y valoración de Residuos,2.1.2. Aprovechamiento de residuos inorgánicos,Recolección y venta de residuos sólidos inorganicos,No registra,Diego Armando Penagos Zuñiga
2022,CAM,No registra,Huila,Palermo,Grupo Empresarial Solanco SA,"El Grupo Empresarial Solanco SA, nace en el año 2016 con la unión de dos mujeres que deciden emprender. Crean el denominado God Oíl (Aceite de Dios). La empresa cuenta con sedes en Colombia, Panamá y Estados Unidos. Su planta de producción en Colombia, se ubica en el municipio de Palermo Huila, Vereda Oriente, en donde cultivan su materia prima para la elaboración del  God Oíl (Aceite de Dios), aproximadamente unas 14 Ha de Sacha Inchi (Plukenetia Volubilis), que es recolectado y llevado a la planta de extracción de aceite de Elohim Group, posteriormente este extracto de aceite es transportado a la planta de producción del God Oíl (Aceite de Dios), para que el proceso de elaboración del God Oíl (Aceite de Dios) sea combinado con otros componentes de no síntesis química o de alta toxicidad. Es empacado en canecas de 55 galones las cuales son plásticas y en su momento o disponibilidad son reutilizadas, disminuyendo la cantidad de residuos sólidos. Cabe resaltar que la comercialización va dirigida principalmente a la industria de hidrocarburos, ubicadas en Colombia y diferentes países; sin embargo, también se distribuye a empresas y personas naturales que lo requieran para remediación, recuperación y conservación de ecosistemas. Adicional a esto se destacan las buenas prácticas ambientales en las instalaciones de producción como lo es poseer una infraestructura de captación de aguas lluvias, fosa de compost para el cultivo de Sacha Inchi (Plukenetia Volubilis), destinación de área para reserva natural. La empresa Grupo Empresarial Solanco SA, se destaca por contar con una excelente organización administrativa con formalización del colaborador. Este producto y trabajo empresarial, ha sido reconocido por revistas especializadas nacionales e internacionales, medios de comunicación televisivos, digitales y fiscos, entidades públicas y privadas nacionales e internacionales.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.2. Agroindustria Sostenible,1.2.2. Agroindustrial no alimentario,Aceite god Oil,No registra,Natalia Solano Caballero
2022,CODECHOCÓ,No registra,Chocó,Nuquí,La Posada de Angela,"La Posada de Angela es un negocio dedicado al servicio de hospedaje rural y masajes relajantes, este servicio se promociona y comercializa a través de WhatsApp Bussines y plataformas como posadasrurales.co, airbnb.com.

El servicio de hospedaje es el medio usado por la empresaria para promocionar una cultura de responsabilidad ambiental; promociona el consumo sostenible al instar a sus huespedes a evitar el uso de plásticos de un solo uso, desde la promoción del hospedaje solicita al cliente llevar su botella personal para el suministro de agua, brinda información sobre las bellezas naturales de la región y en la cabaña hay información sobre las aves de la región, la cabaña y las lamparas de iluminación externa se alimentan de enegía solar. 

Con estás acciones La Posada de Angela constribuye a la construcción de una cultura de responsabilidad ambiental y consumo sostenible, además de la conservación de los recursos naturales renovables y no renovables al promocionar la conservación de los recursos naturales locales y usar fuentes de energía alternativas como la energía solar, de especial importancia en Nuquí, donde la energía electrica proviene de plantas de energía que funcionan con combustible Diesel.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.3. Biocomercio,1.3.2. Turismo de naturaleza,Alojamiento,No registra,Angela María Posada Arango
2022,CAM,No registra,Huila,Teruel,Cleto Caffe,"Cleto Caffé fue formalizado en el año 2018, es un café de tradición familiar por más de 50 años, en el municipio de Teruel es donde se cultiva con donde se realiza compost con la cacota de café descerezado, y residuos sólidos orgánicos generados por la cocina de la finca. Para el vertimiento de las aguas mieles derivadas de la producción de Café, se les realiza un pequeño tratamiento con filtros, y finalmente poseen trampas de grasas y pozos sépticos., una parte es para vender en pergamino y la otra se traslada para la trasformación se hace en instalaciones propias en el municipio de Palermo donde se tuesta, muele y empaca. Su comercialización se hace gracias a convenios de tipo verbal con diferentes tiendas de café en la ciudad de Neiva, y otros mercados es por previo pedido a las ciudades cercanas del departamento del Huila. En sus predios de cultivos de café tiene 50 Ha. de reserva natural, finca promoviendo la  conservación del agua, la flora y fauna. Tiene más de 100 Ha. cultivadas en café, Ha participado con su producto en la feria de Agroexpo. Tiene una línea con empaque biodegradable.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.2. Agroindustria Sostenible,1.2.1. Agroindustrial alimentario,Café tostado y molido,No registra,Angel Antonio Rivera Meneses
2022,CAM,No registra,Huila,Timaná,Asociación de Productores Agricolas de Timaná ASPROTIMANÁ,"La asociación de productores agrícolas de Timaná ASPROTIMANA creada hace más de 20 años; actualmente son mas de 150 socios, dedicados a la producción y comercialización de café pergamino en sistemas agroforestales utilizando especies nativas árboreas como el Guamo (Inga Edulis) e incursionando en la producción de café tostado y molido. Sus ventas son principalmente a Racafe, Sucden, Omayer, Hollan Agro, Carcafe y Free Coffe, que son exportadoras del producto, con estas ventas se benefician sus asociados a corto, mediano y largo plazo. Cuentan con politicas de contratación formal. Los asociados realizan el cuidado y conservación de diferentes ecosistemas ubicados en los predios de los mismos asociados. Fomenta el mejoramiento de la calidad de vida y manejo integrado de arvenses para evitar erosiones en el suelo. También poseen diferentes certificaciones como, Comercio Justo y Rainforest Alliance Certified. Las Buenas Practicas Agricolas - BPA son promovidas por la administración de la asociación, realizando la genereación de insumos para aplicar a los cultivos de café, estos insumos son biopreparados que funcionan como controladores biológicos. Poseen programas dirigidos a sus asociados como el  plan de ahorro de agua y energía, manual de uso de residuos sólidos y SG-SST. Finalmente en medio de sus actividades, promueven con la comunidad del área de influencia de la asocciación sus políticas de sostenibilidad ambiental.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.1. Agrosistemas sostenibles,1.1.2. Agroecología,Café Pergamino,No registra,Robinson Figueroa
2022,CAM,No registra,Huila,Iquira,Asociación de Cacaoteros del Municipio de Iquira - ASOCACAO IQUIRA,"La Asociación ASOCACAO IQUIRA fue creada hace más de 15 años, con el fin de fortalecer la producción de cacao en grano en el municipio de Iquira, para así brindar a las familias asociadas, mejor calidad de vida. Esta iniciativa, realiza la producción de cacao de  forma  agroecológica en sistemas agroforestales utilizando especies nativas árboreas como el Igua (Albizia guachapele), Nogal (Juglans regia), Cambulo (Erythrina poeppigiana), Zapote (Pouteria sapota) y Mamey (Mammea americana). Por otro lado, los productores no hacen uso de sustancia químicas; adicionalmente, se llevan a cabo actividades de elaboración de bíopreparados, biofermentados, creación de abono orgánico a base de gallinaza, aserrín, residuos de la extracción de la pepa de Cacao y biofertilizantes. Por otra parte, se promueve la conservación de las abejas, generando pequeños apiarios en medio de reservas naturales destinadas en cada predio de los asociados esto, con el fin de generar la polinización dirigida en el cultivo. La comercialización de su producto se realiza principalmente con la Compañia Nacional de Chocolates - CNCh y en participación de ferias regionales.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.1. Agrosistemas sostenibles,1.1.2. Agroecología,Cacao en grano seco,No registra,Amparo Llanos Chila
