"AÑO 
(Año de registro)","AUTORIDAD AMBIENTAL
(Donde se encuentra el Negocio Verde)","REGIÓN
(Donde se encuentra el Negocio Verde)","DEPARTAMENTO
(Donde se encuentra el Negocio Verde)","MUNICIPIO
(Donde se encuentra el Negocio Verde)","RAZÓN SOCIAL
(Del Negocio Verde)","Descripción
(Del Negocio Verde)","CATEGORÍA
(Del Negocio Verde)","SECTOR
(Al cual pertenece el Negocio Verde)","SUBSECTOR
(Al cual pertenece el Negocio Verde)","Producto Principal
(Que promueve el Negocio Verde)","CATEGORÍA COMERCIAL
(Al cual pertenece el Negocio Verde)","NOMBRE REPRESENTANTE
(Del Negocio Verde)"
2022,CORALINA,No registra,San Andrés,Providencia - Isl,Jenny Elena Webster Archbold - Variedades Y Ancheteria Dushanddom,"VARIEDADES ANCHETERIA DUSHANDDOM, es una empresa que utiliza los residuos sólidos como las botellas de plástico para convertirlos en diferentes figuras y envases útiles para empacar los productos de  anchetas, y así ayudar con la conservación de la reserva de biosfera, ya que el reciclaje de plásticos es un mercado muy grande  proyectándose como una solución real y tangible al desafío ambiental de los residuos plásticos, y una gran oportunidad de empleo y desarrollo social para san Andrés y providencia. El plástico además se descompone en pequeñas partículas que se funden y se moldean para fabricar nuevos productos en muchas industrias aunque no todos los plásticos se pueden reciclar, los que sí son: PET (botellas de bebidas), polietileno de alta densidad (envases de productos), PVC, polietileno de baja densidad (bolsas, botellas exprimibles, tapas), polipropileno (utensilios de cocina), poliestireno (material electrónico y espuma de embalaje, estos son algunos de los materiales que hoy se pueden reciclar y que gracias a los mismos, es posible obtener productos utilizados diariamente. Los plásticos han estado asociados al desarrollo y la mejor calidad de vida, lo que se ve reflejado en la existencia de múltiples productos que son fundamentales para facilitar las actividades diarias del ser humano, pues el aprovechamiento de los residuos plásticos, hace que cobre cada vez más importancia en el cierre adecuado del ciclo de vida de los productos plásticos. El valor y alcance del reciclaje de los residuos plásticos, al igual que el de todos los materiales, hace necesario un adecuado conocimiento de las diversas alternativas que se tienen para su posterior manejo, para prevenir y mitigar impactos negativos. Se trata de una actividad que debe ser potencializada y explotada mucho más, dada la cantidad de materia prima que se “escapa” en diferentes corrientes de residuos, lo que finalmente representa pérdidas económicas y genera impactos negativos al ambiente. Por lo tanto, esta empresa realiza ANCHETAS $ 50.000 unidad, y CAJAS DECORADAS $25.000.",2. Ecoproductos Industriales,2.1. Aprovechamiento y valoración de Residuos,2.1.2. Aprovechamiento de residuos inorgánicos,Anchetas de material reciclado,No registra,Jenny Elena Webster Archbold
2022,CORALINA,No registra,San Andrés,Providencia - Isl,Restaurante Mama Mia,"RESTAURANTE MAMA MIA, es una empresa dedicada a la actividad de ventas de comida con conciencia ambiental, y sostenible, en donde  elaboran sus platos en su mayoría con productos locales o de temporada, es decir, con frutas y verduras, cultivadas de acuerdo con el ciclo natural de estaciones del lugar donde se consumen. Esta empresa respeta y educa a sus visitantes sobre el tiempo de veda de diferentes como; caracol pala, langosta Espinoza entre otras especies y la prohibición de consumir otras especies como; tortuga, pez loro entre otras, esta empresa tampoco usa pitillos, sus empaques son de material biodegradables amigable con el medio ambiente, y nuestros residuos orgánicos lo convierten en compost artesanal para que los agricultores puedan producir la tierra de una forma sana. Además, las materias primas de su cocina son en su mayoría alimentos ecológicos, pescado capturado mediantes técnicas sostenibles y productos ganaderos que provengan de animales criados respetando su bienestar, pues la sostenibilidad no se limita solo a cuidar el equilibrio natural, sino que también supone mejorar la vida de la gente. Los restaurantes sostenibles forman parte activa de una comunidad. Respetan y valoran a sus trabajadores, promoviendo políticas de reconocimiento y formación para mejorar sus conocimientos técnicos y para fomentar valores, como la igualdad o la diversidad.  Para contribuir a mejorar las cosas en otros lugares, adquieren los alimentos que están a su alcance mediante comercio justo, sus residuos  los separan, y  reciclan vidrio y cuentan con un contenedor de residuos orgánicos para hacer compost.  De esta manera los restos orgánicos volverán al restaurante de nuevo en forma de vegetales y así se cierra el círculo. En cuanto a los embalajes y productos de un solo uso, como servilletas o manteles de papel, utilizan biodegradables, pues cada vez son más  las personas que valoran que el restaurante que se visite sea respetuoso con el entorno natural, cuide el origen de los alimentos, recicle y separe los residuos, ahorre energía y valore a sus trabajadores.  Sus platos más sobresalientes son la langosta ($50.000 plato) y ensalada ($ 12.000 plato).",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.3. Biocomercio,1.3.2. Turismo de naturaleza,Restaurante,No registra,Maria Paola Iannini Guerrero
2022,CORALINA,No registra,San Andrés,San Andrés - Isl,Lizmar Posada,"LIZMAR POSADA, es una empresa dedicada al alojamiento  de turistas nacionales y extranjeros, una de sus principales actividades de su negocio es promover el reciclaje de residuos sólidos, el uso correcto de la energía y el agua, esto con el fin de crear conciencia y ayudar a la reserva de Biosfera. Además permite que sus habitantes se sientan como nativos de la región en todo momento. Para conseguir esto, la posada no solo ofrece las habitaciones, sino que además les da a los turistas la posibilidad de hospedarse en habitaciones turísticas más sencillas y similares a las casas de los habitantes de las zonas rurales de la isla de san Andrés y providencia, brindándoles una atención amigable y eficiente con el entorno, además los turistas pueden interactuar con la naturaleza, la cual brinda  la oportunidad de reconocer el encanto de la cultura isleña y el valor del cuidado de los suelos, promoviendo el reciclaje de los residuos sólidos, ayudando al cuidado del medio ambiente y su entorno. También tratan de que la  alimentación de sus huéspedes sea con los productos cultivados en la isla,  según los intereses de los visitantes. Dentro de sus servicios ofrecen la estadía así,  habitación sencilla ($70.000) sin aire y con ($90.000).",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.3. Biocomercio,1.3.2. Turismo de naturaleza,Posada alojamiento,No registra,Liz Maria Rodriguez Archbold
2022,CORMACARENA,No registra,Meta,Puerto Gaitán,Grupo Empresarial El Veladero SAS,"GRUPO EMPRESARIAL EL VELADERO S.A.S, es una empresa integral, fundada a partir de la reconstrucción de instalaciones destruidas después de 9 años de desplazamiento por grupos al margen de la ley, logrando establecerse como una de las pioneras en la producción de miel de abejas, Apis Mellifera, de manera artesanal, 100% pura, siendo un emprendimiento altamente sostenible, producida en las sabanas de la altillanura en el municipio de Puerto Gaitán Meta, por campesinos en tierras en donde nunca se han usado agroquímicos, llamándola así  “Miel Weje” rindiendo un homenaje a sus ancestros. Por ello este Grupo empresarial se ve enfocado en la acción polinizadora de las abejas,   implementando  un sistema altamente productivo, contribuyendo con el cuidado  al medio ambiente e incrementando la productividad, aumentando la diversidad biológica, sostenible y heredable. El proceso empresarial Miel  100% natural,  producida por abejas Apis Mellifera, envasada cruda, lo cual garantiza que sus propiedades no sean alteradas, y comercializándola en un envase de vidrio, en presentaciones de litro y medio litro.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.1. Agrosistemas sostenibles,1.1.2. Agroecología,Miel de Abejas x 350g,No registra,Luz Mery Enciso Quevedo
2022,CORMACARENA,No registra,Meta,Mesetas,Asoapromet,"La Asociación ASOAPROMET se dedica a la producción, transformación y comercialización del cacao en diferentes productos como: Chocolate amargo, Chucula y chocolate en polvo, los cuales son comercializados a nivel Nacional y Regional en empaques de 500 gm, con los residuos generados de esta actividad como la cascarilla y la mazorca del cacao se realiza abono orgánico para reincorporarlo en el proceso productivo y en huertas caseras de los asociados.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.2. Agroindustria Sostenible,1.2.1. Agroindustrial alimentario,Chocolate Amargo,No registra,Laura Montoya
2022,CORMACARENA,No registra,Meta,Mesetas,Asociación Manos Productivas Sumapaz ASOLAROCA,"La Asociación Asolaroca produce por medio de los socios el café, el cacao y plátano el cual es transformado de forma artesanal en diferentes productos como café molido, chucula y harina de plátano, los productos se comercializan de manera local y regional en presentaciones de 500 gm, los residuos generados de este proceso se aprovechan realizando compostaje el cual se reincorpora en el proceso productivo.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.2. Agroindustria Sostenible,1.2.1. Agroindustrial alimentario,Café Molido,No registra,Mariela Mendoza Gacha
2022,CORMACARENA,No registra,Meta,Uribe,Aromas Del Tinigua,"AROMAS DEL TINIGUA, es una alianza comunitaria dedicada a la generación y comercialización de productos saludables con alto valor agregado, con rigurosos estándares de calidad y sostenibles ambientalmente. Cuenta con un sistema agroforestal de maderables y no maderables,  buscando un enfoque agroindustrial e implementando las buenas prácticas agrícolas contando con la calidad óptima de materia prima y realizando una respectiva caracterización de la producción en campo, pues la diferenciación por sabor, aroma y origen es un factor clave para el impulso del sector con productos como Chocolate de taza, Chocolatería y Confitería. También es una iniciativa de carácter agroindustrial de la Asociación productora Aromas del Tinigua, conformada por los líderes, lideresas y representantes de la comunidad que a través de la unión de esfuerzos, la integración de ideas, el aporte de trabajo, el reconocimiento de saberes le apuestan a un desarrollo sostenible y en paz, de ahí su lema «MANOS QUE CONSTRUYEN LA PAZ».
Esta empresa se caracteriza por su emprendimiento social y empresarial innovador, que a través de la integración comunitaria, la ciencia, tecnología e innovación, en un entorno de paz, transforma y comercializa insumos básicos de cacao, plátano y maracuyá, en productos alimenticios con alto valor agregado y estándares de calidad como chocolate en varias presentaciones, bombones, snack de plátano, mezclas listas de harina de plátano para diversas preparaciones, entre otros; con el objetivo de abastecer mercados locales, nacionales e internacionales. Entre ellos, cuentan con el Programa de reconocimiento social (apoyado por Minciencias, PNUD y la Universidad Nacional) que es una alianza comunitaria forjada por las veredas Buenos Aires, La Pista y La Primavera, cuyo objetivo es generar oportunidades de desarrollo y bienestar para las comunidades que están afrontando procesos de paz y reconciliación, añadiendo valor agregado a sus productos agrícolas, constituyendo una opción para mejorar su economía local y al mismo tiempo contribuir al empoderamiento de esta. 
En la transformación del grano de cacao, se lleva consigo los procesos necesarios para la obtención de productos, tales como el chocolate de mesa y los bombones de chocolate, e ingredientes como masa de cacao, manteca de cacao y cocoa, más específicamente así: Línea de cacao: Chocolate de mesa sin azúcar, Chocolate de mesa (50% cacao),  Chocolate para consumo directo al 65%,  Chocolate para consumo directo al 70%,  Trufas de chocolate relleno de ganache de maracuyá,   Bombón de chocolate relleno de jalea de maracuyá, Bombón de chocolate relleno de jalea de maracuyá y extracto de café, Bombón de chocolate relleno de caramelo líquido con maracuyá, Bombón de chocolate relleno de caramelo líquido con maracuyá y nibs de cacao. 
En el procesamiento del plátano verde, por medio de procesos de secado, se obtienen productos como snack y mezclas listas para la preparación de tortas, muffins, galletas, empanadas y panzerotti. Línea de Plátano: Moneditas de plátano deshidratado, Mezcla lista para tapas de empanadas dulces a base de plátano, Mezcla lista para tapas de empanadas saladas a base de plátano, Mezcla lista para tapas de panzerotti a base de plátano, Mezcla lista para muffins a base plátano – sabor a maracuyá,  Mezcla lista para muffins a base plátano – sabor a chocolate, Mezcla lista para galletas a base plátano – sabor a maracuyá, Mezcla lista a base de plátano para brownie, Mezcla lista a base de plátano para torta.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.2. Agroindustria Sostenible,1.2.1. Agroindustrial alimentario,Chocolate de mesa x 225 gr,No registra,Marta Lucia Devia Cuellar
2022,CORMACARENA,No registra,Meta,San Martín - Met,CHOKOMET,"CHOKOMET es una empresa que se dedica a la compra de Cacao y Café, para realizar la transformación y comercialización en subproductos como: Chucula 500 gm, Chocolate Instantáneo 500 gm, Café Orgánico 500 gm, Grageas 250 gm y  Barras de Chocolate100 gm, adicionalmente se dedica a la labor social, Humanitaria y ambiental, apoyando el desminado en el territorio colombiano y sustitución de cultivos por cacao y árboles nativos, los empaques de los productos que elabora son 100% biodegradables y está en proceso de certificación en precios justos.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.2. Agroindustria Sostenible,1.2.1. Agroindustrial alimentario,Chucula,No registra,Wilmer Francisco González Urdaneta
2022,CORMACARENA,No registra,Meta,Villavicencio,Yeison Humberto Palencia - La Chagra Vip,"LA CHAGRA VIP, Se creo en el 2011, por iniciativa del señor Yeison Humberto Palencia, decidió trasformar su finca en un espacio para descansar, para desintoxicarse, para conectarse con la naturaleza, para disfrutar del aire, para disfrutar de las cosas simples, hacer glamping y caminar por el piedemonte llanero, lleno de senderos, animales y vegetación nativa. En una reserva de 15 hectáreas con quebradas y nacimientos a menos de 20 minutos de Villavicencio y un par de horas de Bogotá, cuentan con espacios naturales y abiertos para descubrir la naturaleza y ver las ventajas de vivir en el piedemonte llanero colombiano. Gracias a la ubicación cuentan con quebradas y nacimientos propios que les permite disfrutar de abundante agua durante todo el año, de igual manera respetan el bosque y hacen un trabajo de restauración ambiental empleando el Ecoturismo, para poder disfrutar del paraíso verde y compartirlo con los visitantes, contribuyendo a la conservación y restauración de la biodiversidad,  implementando acciones de recuperación de bosque nativo, y desarrollando un manejo amplio de los residuos orgánicos generados. El terreno tiene más de 80 años de construida, tiene una historia de cafetales y frutales, y durante muchos años fue la última casa de la vía, era el sitio de descanso de todos los campesinos que vivían en las 7 veredas que siguen, un punto de reunión, de compartir y de disfrutar con los amigos y vecinos, conservando e implementando actualmente la educación ambiental y sensibilización a la preservación y cuidado de los recursos naturales por parte de los turistas, visitantes y lugareños. Además La Chagra Vip, es una empresa dedicada a la prestación de servicios ecoturismo (Servicio de alojamiento, Guianza educativa y senderismo) nace con la idea de conservar un pedazo de naturaleza, de olvidar los potreros y de construir una reserva propia para compartir y de la cual se pueda aprender, también con la idea de generar negocios verdes, sostenibles y amigables con la naturaleza, acompañados del senderismo, ecoturismo responsable y aulas ambientales, uniendo ciencia, alojamiento, vinculando a la comunidad local para proveer productos  y empleos locales, (glamping y ecoturismo),  conociendo las necesidades de crear nuevos modelos de negocio que mitiguen la salvaje depredación y el cambio climático, creando un  pequeño paraíso verde. Allí se disfruta de dos quebradas, nacimientos e incalculables variedades de especies vegetales nativas, que con mucho esfuerzo tratan de conservar, pues conocida por ser la tierra de los Guayupes, ancestros de estas tierras que recorrieron y cultivaron la tradición del piedemonte, fundaron la ciudad y conectaron la montaña de producción agrícola con la riqueza de la llanura.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.3. Biocomercio,1.3.2. Turismo de naturaleza,Glamping,No registra,Yeison Humberto Palencia
2022,CORMACARENA,No registra,Meta,Villavicencio,Fundación Sistema Integral Ambiental,"FUNDACION SISTEMA INTEGRAL AMBIENTAL, fue creada en el 2014, como una entidad recicladora, con enfoque de ciclo de vida con el aprovechamiento de inorgánicos (plásticos ), con el propósito de dar una adecuada disposición en el aprovechamiento de residuos plásticos como materia prima, sus componentes y subproductos, ofreciendo soluciones oportunas que permitan mitigar los posibles impactos negativos sobre el medio ambiente, brindando apoyo a las diferentes comunidades y empresas, en el debido manejo de sus residuos. Apostando a promover acciones sostenibles y a través de procesos cuidadosos y respetuosos con el ambiente, dando una adecuada disposición final bajo estándares nacionales, desarrollando a su vez un aporte a la reducción del impacto ambiental de los desechos plásticos al darles un nuevo uso que prolongue la vida útil y evite la contaminación, reduciendo sustancialmente el peligro que representa estos materiales en el ambiente por su lenta degradabilidad y la composición química que representan. Por ende, esta empresa ayuda a la incorporación de buenas prácticas ambientales como la descomposición de este material por medio de un proceso de separación en la fuente, limpieza, triturado hasta convertirlos en materia prima denominada resinas termoplásticas x kilos las cuales son vendidas para ser utilizadas para la elaboración de nuevos productos plásticos como son los postes de encerramientos, Valdés, estibas, ganchos entre otros.",2. Ecoproductos Industriales,2.1. Aprovechamiento y valoración de Residuos,2.1.2. Aprovechamiento de residuos inorgánicos,Resinas termoplasticas x Kilo,No registra,Aristobulo Moreno Cubillos
2022,CORMACARENA,No registra,Meta,Lejanías,Agrícola Alcaraván,"AGRICOLA ALCARAVAN es una empresa dedicada a la producción limpia de frutas y hortalizas libre de agrotòxicos y agroquímicos, Elabora sus propios insumos 100% orgánicos a base de los residuos generados en los procesos de la misma, buscando tener una producción mayor generando el mínimo impacto al ecosistema, cuenta con una gran biodiversidad de cultivos buscando el equilibrio del medio, realiza su propia geminación de plántulas, trasplante, cosecha, distribución y comercialización de los productos, estos productos son comercializados en kg y en canastillas reutilizables evitando la generación de residuos por medio de empaque de productos.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.1. Agrosistemas sostenibles,1.1.2. Agroecología,Naranja Tangelo,No registra,Juan Miguel Torres Berrio
2022,CORMACARENA,No registra,Meta,Restrepo - Met,Cosmogenesis -  Monika Hesse,"COSMOGENESIS: es un centro agro-eco-turístico, terapéutico y formativo enfocado en la permacultura y abierto a todos los seres humanos que buscan relaciones más armoniosas con la naturaleza y mejores condiciones de salud espiritual, mental y física. Aprovechando la energía sanadora de este sitio, Cosmogénesis brinda las herramientas necesarias para lograr sistemas de vida sostenible a través de un proceso de sensibilización e implementación de prácticas, tecnologías, terapias, seminario-talleres y conversatorios enfocados en los cuatro ejes temáticos del agro-eco-turismo recreativo, la agroecología, la bioarquitectura y el autocuidado de la salud en donde propende la conservación del medio ambiente y de zonas naturales de reproducción de especies de fauna nativa ( Prestación de servicios de turismo de naturaleza:  alimentación, guianza, senderismo, alojamiento y educación ambiental ), en una zona de hermosos paisajes que encuentran ecosistemas con diversidad de fauna, flora y especies nativas.  El Eco Hotel Cosmogénesis, situado en Restrepo, a 16 km de la ciudad de Cumaral, alberga piscina al aire libre y restaurante. También tiene jardín y terraza. Las habitaciones gozan de vistas al jardín, este se encuentra en un gran terreno de unas 6 hectáreas, ideal para practicar senderismo y dar paseos en donde se practican diversas actividades, como ciclismo, equitación y pesca. También realiza adecuadamente la disposición de residuos sólidos y vertimientos para transformarlos en elementos que se aprovechen y se reintroduzcan en los procesos productivos de la finca, evitando la contaminación de suelos y cuerpos de agua, acompañados de programas de reforestación para aumentar el área y la densidad de bosque protector que sirva de refugio y zona y por último implementa tecnologías apropiadas como los paneles solares y programas de ahorro y uso eficiente del agua para disminuir los consumos de estos recursos.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.3. Biocomercio,1.3.2. Turismo de naturaleza,Hospedaje (pareja),No registra,Monika Hesse
2022,CORMACARENA,No registra,Meta,Fuente de oro,Asomupro De Oro,"ASOMUPRO DE ORO es una asociación de 22 mujeres rurales dedicadas a la producción, transformación y comercialización de Jalea de Guayaba, Arequipe de Guayaba y Caramelo de Cacao, los productos son comercializados a nivel regional en recientes de plástico y vidrio en presentaciones de 200gm y 250 gm, con los residuos generados se elabora café de guayaba, alimento para cerdos y Compostaje para nutrir los cultivos de la asociación, la promoción de los productos se realiza por medio emisoras locales y redes sociales de la gobernación y la alcaldía, la asociación cuenta con un área de conservación de especies nativas de 4 Hectáreas.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.2. Agroindustria Sostenible,1.2.1. Agroindustrial alimentario,Jalea de guayaba,No registra,Sandra Milena Montoya
2022,CORMACARENA,No registra,Meta,Villavicencio,KAHAI S.A.S,"KAHAI SAS: Es una empresa constituida en el año 2009 por tres socios, con el objetivo de promocionar en el Meta un cultivo novedoso y de gran expectativa para generación de ingresos y crecimiento sostenible, teniendo en cuenta que el «Cacay», un árbol Amazónico que produce nueces de muy buen sabor, de las que se extrae un fino aceite cosmético y una proteína de alto valor nutricional, estableciendo el cultivo de Cacay como alternativa para el desarrollo económico sostenible, convirtiéndolo en ícono de la biodiversidad Colombiana. Kahai está dedicada a la producción, transformación y comercialización de productos derivados del árbol de Cacay, integrando toda la cadena de valor, desde recolección silvestre, donde desarrollan campañas educativas para dar a conocer el potencial de la especie y evitar que siga siendo deforestada por su leña. A través de la cosecha silvestre están generando ingresos a más de 200 familias campesinas e indígenas en zonas de conflicto. Han desarrollado tecnología para cultivar estos árboles y a través de injertación logrando reducir el periodo improductivo de 8 a 3 años, aumentando la productividad hasta en un 80%. También desarrollan la maquinaria para el procesamiento de las nueces, el aceite y la proteína, y buscando alcanzar «Cero Desperdicio» mediante el uso integral del fruto y sus derivados. La empresa cuenta con más de 650 hectáreas de plantaciones propias y promueven cultivos para reforestar 5.000 hectáreas con Cacay en la Amazonía y Orinoquía Colombianas, involucrando: Comunidades Campesinas e Indígenas, a través de programas sociales con el apoyo de ONGs y entidades gubernamentales, como alternativa para la sustitución de cultivos ilícitos y para generar desarrollo en zonas apartadas. Agricultores e Inversionistas para el establecimiento de plantaciones comerciales que permitan aumentar el suministro, generar escala y fortalecer la industria.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.2. Agroindustria Sostenible,1.2.1. Agroindustrial alimentario,Aceite x Kilos,No registra,Alberto Jaramillo
2022,CORPOAMAZONÍA,No registra,Putumayo,Puerto Asís,Artesanias Naimere,"La empresa Artesanías Naimere, se crea en el año 2020, en el municipio de Puerto Asís, con el propósito de generar ingresos a través del uso de semillas y bejucos de las especies silvestres como: Chochos (Erythrina Rubrinervia), Asaí (Euterpe oleracea), Ojo de Buey (Mucuna pruriens), bejuco Yaré (Heteropsis flexuosa) y bejuco Cumare (Astrocaryum chambira); los cuales los adquiere por compra a la comunidad del resguardo indígena Murui Monilla Amena, para la elaboración de bolsos, manillas, pulseras, canastos, llaveros y accesorios, que comercializa a nivel local en un punto de venta situado en el municipio de Puerto Asís y directamente a clientes a nivel regional y nacional. La empresa a través de su modelo de negocio, ha permitido incentivar la conservación y aprovechamiento sostenible de dichas especies nativas, en los territorios de la comunidad del resguardo indígena Murui Monilla Amena, quienes recolectan las semillas caídas para comercialización y repoblación, asegurando su estabilidad, evitando la deforestación de bosques, favoreciendo la interacción de fauna silvestre, mejorando la calidad de los suelos y del aire. 

Los diseños de las artesanías son alusivos a la cultura indígena de la comunidad Murui Monilla Amena, las cuales representan las diferentes formas de conservación de la fauna y flora silvestre, usos, costumbres, medicina tradicional y saberes ancestrales. Permitiendo al cliente conocer sobre la preservación de estas comunidades como parte cultural y ambiental del territorio. De igual manera, con la transformación de estos productos no maderables del bosque, evita que se pierda en los rios, senderos, carreteras y plazas de mercado, ya que, incentiva a estas comunidades para que las venda para nuevas actividades productivas, como es este modelo de negocio, también, realizando un enfoque de ciclo de vida.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.3. Biocomercio,1.3.4. No Maderables,Canasto Minika,No registra,Lina Andrea Pantoja Fariratofe
2022,CORPOAMAZONÍA,No registra,Putumayo,Puerto Asís,Ayawaska Hostal,"La empresa Ayawaska Hostal, es una operadora turística que nance en el municipio de Puerto Asís en el año 2017 posterior al proceso de paz y se crea con el fin de fortalecer y promocionar los sitios turísticos del departamento del Putumayo, a través de la prestación de servicios de alojamiento rural, avistamiento de fauna y flora silvestre, rutas ecológicas y/o senderismo, educación cultural y acercamientos con comunidades indígenas para vivir experiencia ancestrales; dichas actividades hacen parte de paquetes turísticos que se comercializan a nivel local, regional, nacional e internacional, de manera directa o en alianzas con agencias de viajes del interior del país. 

La empresa ha logrado vincular a muchas comunidades étnicas y personas naturales, a través del encadenamiento y aprovechamiento sostenible de áreas ricas en biodiversidad que actualmente son usadas para el turismo de naturaleza, bajo medidas o practicas responsables con el medio ambiente. Este modelo de negocio ha logrado conservar muchos ecosistemas y además recuperar áreas que anteriormente fueron usadas para actividades como la ganadería extensiva y cultivos de uso ilícito, así, permitiendo una mejora en los suelos, aumentando la disponibilidad hídrica, mejorando la calidad del aire y hábitats para el retorno de fauna silvestre. 

La empresa también ha logrado impulsar algunas comunidades étnicas de la región, a través de la promoción de espacios culturales y ancestrales al interior de sus territorios, donde el visitante interactúa con las diferentes formas de vida y modelos de conservación, que tienen como principio la sostenibilidad del bosque y especies de fauna nativa.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.3. Biocomercio,1.3.2. Turismo de naturaleza,Alojamiento en Hostal,No registra,Laura Peña Pelaez
2022,CORPOAMAZONÍA,No registra,Putumayo,Puerto Asís,Asociación de Meliponicultores Bionativas Abejas del Putumayo,"La Asociación de Meliponicultores Bionativas, Abejas del Putumayo, se creó en el año 2021, en el municipio de Puerto Asís y se dedica a la recolección o recuperación de nidos de abeja nativa Angelita (Tetragonisca angustula), en áreas rurales y urbanas que han sido afectadas por la deforestación; dichos nidos se trasladan a espacios con cobertura vegetal similar a donde fueron recuperadas, en esta área se aprovechan de manera sostenible con la recolección o extracción de miel y propolio natural, el cual se envía a la empresa Apicultura el Rey, quien se encarga de realizar el envasado y etiquetado (ellos tienen el certificado de no obligatoriedad otorgado por el INVIMA), posteriormente, el producto regresa a la asociación para realizar la comercialización a clientes directos, localizados a nivel local, regional y nacional. 

La empresa a través de su modelo de negocio, recupera nidos de abejas nativas como la angelita (Tetragonisca angustula), que han sido afectadas en áreas intervenidas por la deforestación o aprovechamiento forestal en las áreas rurales del  municipio de Puerto Asis, una vez se recuperan dichos nidos, estos se trasladan a espacios propicios para su sobrevivencia,  las cuales son vitales en el sostenimiento y recuperación de hábitats, gracias a su polinización, que favorecen tanto a la flora como a la fauna silvestre, por medio de esparcimiento de semillas. Con ello se ha logrado regenerar áreas y por ende mejorar la calidad de los suelos, retorno de fauna silvestre, mejoramiento de calidad del aire e interacción de organismos a nivel ecosistemático prologando la existencia de muchas especies amazónicas e incluisive estea especie de abejas nativas amazonicas.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.3. Biocomercio,1.3.3. Productos derivados de la Fauna Silvestre,Miel de Abeja Angelita,No registra,Mary Luz Mosquera Mosquera
2022,CORPOAMAZONÍA,No registra,Putumayo,Puerto Asís,Nancy Chavez Rojas,"La empresa nace en el año 2021, en el municipio de Puerto Asís y se dedica a la compra de semillas naturales y nativas de las especies: Asai (Euterpe oleracea), Chocho (Ormosia coccinea), Cachimbo (Couratari guianensis), Ojo de Buey (Mucuna urens) y fibras naturales de la especie Iraca (Carludovica palmata), que las adquiere a través del negocio verde, Shuskacol y en la comunidad del pueblo indígena kofan, quienes la recolectan al interior de sus territorios una vez estas se encuentran caídas. Dichas semillas son utilizadas en la elaboración de artesanías y adornos, que se comercializan de manera directa a los clientes locales, regionales y nacionales. La empresa con sus actividades ha permitido beneficiar a comunidades étnicas del pueblo indígena Kofan y el concejo comunitario la Primavera (Intermediario Shuskacol), a quien les compra las semillas naturales, que recolectan al interior de sus territorios o chagras de manera sostenible, logrando conservar estas especies silvestres, evitando el desperdicio en sus terrenos, conservando áreas o bosques productores de dichas semillas, previniendo la deforestación ya que existe un mercado para comercialización de las semillas nativas y mejorando las condiciones ambientales, como la fertilidad del suelo, mayor disponibilidad del recurso hídrico y mejor calidad del aire.

De igual manera, con la transformación de estos productos no maderables nativos, evita que se pierdan en los ríos, bosques y senderos, ya que, incentiva a estas comunidades para que los comercialice para nuevas actividades productivas, generando un encadenamiento que beneficia al pueblo indigena Kofan y al medio ambiente, a través del aprovechamiento sostenible, mediante prácticas ancestrales y  que incorporan un enfoque de ciclo de vida en sus sistemas productivos.",1. Bienes y servicios sostenibles provenientes de los Recursos Naturales,1.3. Biocomercio,1.3.4. No Maderables,Individual para mesa con semillas naturales,No registra,Nancy Chavez Rojas
