IDENTIFICACION,IDENTIFICACION TAXONOMICA,NOMBRE CIENTIFICO,CLASIFICACION SUPERIOR,REINO,FILO,CLASE,ORDEN,FAMILIA,GENERO,EPITETO ESPECIFICO,EPITETO INFRAESPECIFICO,RANGO DE TAXON,NOMBRE CIENTIFICO 1,NOMBRE VERNACULO,CODIGO NOMENCLATURA,ESTADO TAXONOMICO,TAXON OBSERVACIONES,LENGUAJE,ESTADO DE AMENAZA
gbif.org/species/2738655,gbif.org/species/2738655,Aiphanes killipii,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Aiphanes,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Aiphanes,killipii,NA,Especie,(Burret) Burret,NA,ICN,Aceptado,Nombre original validado: Aiphanes killipii,es,CR
gbif.org/species/2738694,gbif.org/species/2738694,Aiphanes leiostachys,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Aiphanes,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Aiphanes,leiostachys,NA,Especie,Burret,Mararay de San Carlos,ICN,Aceptado,Nombre original validado: Aiphanes leiostachys,es,CR
gbif.org/species/2738716,gbif.org/species/2738716,Aiphanes lindeniana,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Aiphanes,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Aiphanes,lindeniana,NA,Especie,(H.Wendl.) H.Wendl.,NA,ICN,Aceptado,Nombre original validado: Aiphanes lindeniana,es,EN
gbif.org/species/2738666,gbif.org/species/2738666,Aiphanes parvifolia,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Aiphanes,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Aiphanes,parvifolia,NA,Especie,Burret,Mararay hojipequeño,ICN,Aceptado,Nombre original validado: Aiphanes parvifolia,es,EN
gbif.org/species/2738663,gbif.org/species/2738663,Aiphanes pilaris,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Aiphanes,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Aiphanes,pilaris,NA,Especie,R.Bernal,Marary de pilar,ICN,Aceptado,Nombre original validado: Aiphanes pilaris | Nuevo taxón incluido,es,CR
gbif.org/species/2738128,gbif.org/species/2738128,Astrocaryum malybo,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Astrocaryum,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Astrocaryum,malybo,NA,Especie,H.Karst.,Palma estera,ICN,Aceptado,Nombre original validado: Astrocaryum malybo,es,EN
gbif.org/species/2738138,gbif.org/species/2738138,Astrocaryum triandrum,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Astrocaryum,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Astrocaryum,triandrum,NA,Especie,"Galeano, R.Bernal & F.Kahn",Guatinajo,ICN,Aceptado,Nombre original validado: Astrocaryum triandrum | Nuevo taxón incluido,es,EN
gbif.org/species/2732713,gbif.org/species/2732713,Attalea amygdalina,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Attalea,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Attalea,amygdalina,NA,Especie,Kunth,Táparo del Río Cauca,ICN,Aceptado,Nombre original validado: Attalea amygdalina,es,EN
gbif.org/species/2732676,gbif.org/species/2732676,Attalea cohune,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Attalea,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Attalea,cohune,NA,Especie,Mart.,Mamarrón,ICN,Aceptado,Nombre original validado: Attalea cohune,es,EN
gbif.org/species/2732716,gbif.org/species/2732716,Attalea colenda,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Attalea,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Attalea,colenda,NA,Especie,(O.F.Cook) Balslev & A.J.Hend.,Palma Real de Tumaco,ICN,Aceptado,Nombre original validado: Attalea colenda,es,EN
gbif.org/species/2732804,gbif.org/species/2732804,Attalea iguadummat,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Attalea,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Attalea,iguadummat,NA,Especie,de Nevers,NA,ICN,Aceptado,Nombre original validado: Attalea iguadummat,es,VU
gbif.org/species/2732819,gbif.org/species/2732819,Attalea nucifera,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Attalea,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Attalea,nucifera,NA,Especie,H.Karst.,Almendrón,ICN,Aceptado,Nombre original validado: Attalea nucifera,es,VU
gbif.org/species/2732936,gbif.org/species/2732936,Bactris charnleyae,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Bactris,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Bactris,charnleyae,NA,Especie,"de Nevers, A.J.Hend. & Grayum",NA,ICN,Aceptado,Nombre original validado: Bactris charnleyae,es,VU
gbif.org/species/2733117,gbif.org/species/2733117,Bactris rostrata,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Bactris,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Bactris,rostrata,NA,Especie,Galeano & R.Bernal,Chacarrá picudo,ICN,Aceptado,Nombre original validado: Bactris rostrata,es,VU
gbif.org/species/2732323,gbif.org/species/2732323,Calyptrogyne costatifrons,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Calyptrogyne,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Calyptrogyne,costatifrons,NA,Especie,(L.H.Bailey) de Nevers,NA,ICN,Aceptado,Nombre original validado: Calyptrogyne costatifrons,es,VU
gbif.org/species/2731822,gbif.org/species/2731822,Ceroxylon alpinum,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Ceroxylon,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Ceroxylon,alpinum,NA,Especie,Bonpl. ex DC.,Palma de cera de la zona cafetera,ICN,Aceptado,Nombre original validado: Ceroxylon alpinum,es,EN
gbif.org/species/2731851,gbif.org/species/2731851,Ceroxylon ceriferum,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Ceroxylon,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Ceroxylon,ceriferum,NA,Especie,(H.Karst.) Pittier,NA,ICN,Aceptado,Nombre original validado: Ceroxylon ceriferum,es,EN
gbif.org/species/2731844,gbif.org/species/2731844,Ceroxylon parvifrons,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Ceroxylon,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Ceroxylon,parvifrons,NA,Especie,(Engel) H.Wendl.,NA,ICN,Aceptado,Nombre original validado: Ceroxylon parvifrons,es,VU
gbif.org/species/2731831,gbif.org/species/2731831,Ceroxylon quindiuense,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Ceroxylon,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Ceroxylon,quindiuense,NA,Especie,(H.Karst.) H.Wendl.,Palma de cera del Quindío,ICN,Aceptado,Nombre original validado: Ceroxylon quindiuense,es,EN
gbif.org/species/2731843,gbif.org/species/2731843,Ceroxylon sasaimae,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Ceroxylon,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Ceroxylon,sasaimae,NA,Especie,Galeano,Palma de Cera de Sasaima,ICN,Aceptado,Nombre original validado: Ceroxylon sasaimae,es,EN
gbif.org/species/2731829,gbif.org/species/2731829,Ceroxylon ventricosum,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Ceroxylon,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Ceroxylon,ventricosum,NA,Especie,Burret,Palma de cera barrigona,ICN,Aceptado,Nombre original validado: Ceroxylon ventricosum,es,EN
gbif.org/species/2731834,gbif.org/species/2731834,Ceroxylon vogelianum,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Ceroxylon,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Ceroxylon,vogelianum,NA,Especie,(Engel) H.Wendl.,NA,ICN,Aceptado,Nombre original validado: Ceroxylon vogelianum,es,VU
gbif.org/species/166200176,gbif.org/species/166200176,Chamaedorea pumila,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Chamaedorea,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Chamaedorea,pumila,NA,Especie,H.Wendl.,NA,ICN,Aceptado,Nombre original validado: Chamaedorea pumila,es,VU
gbif.org/species/2734587,gbif.org/species/2734587,Chamaedorea pygmaea,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Chamaedorea,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Chamaedorea,pygmaea,NA,Especie,H.Wendl.,Molinillo enano,ICN,Aceptado,Nombre original validado: Chamaedorea pygmaea,es,VU
gbif.org/species/2734534,gbif.org/species/2734534,Chamaedorea ricardoi,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Chamaedorea,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Chamaedorea,ricardoi,NA,Especie,"R.Bernal, Galeano & Hodel",Molinillo de Ricardo,ICN,Aceptado,Nombre original validado: Chamaedorea ricardoi,es,EN
gbif.org/species/2734705,gbif.org/species/2734705,Chamaedorea subjectifolia,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Chamaedorea,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Chamaedorea,subjectifolia,NA,Especie,Hodel,NA,ICN,Aceptado,Nombre original validado: Chamaedorea subjectifolia,es,VU
gbif.org/species/2735294,gbif.org/species/2735294,Coccothrinax argentata,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Coccothrinax,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Coccothrinax,argentata,NA,Especie,(Jacq.) L.H.Bailey,Palmicha de Providencia,ICN,Aceptado,Nombre original validado: Coccothrinax argentata,es,EN
gbif.org/species/2731944,gbif.org/species/2731944,Cryosophila kalbreyeri,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Cryosophila,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Cryosophila,kalbreyeri,NA,Especie,(Dammer ex Burret) Dahlgren,Palma Escoba,ICN,Aceptado,Nombre original validado: Cryosophila kalbreyeri,es,VU
gbif.org/species/8791596,gbif.org/species/8791596,Elaeis oleifera,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Elaeis,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Elaeis,oleifera,NA,Especie,(Kunth) Cortés,Nolí,ICN,Aceptado,Nombre original validado: Elaeis oleifera,es,EN
gbif.org/species/8424934,gbif.org/species/8424934,Geonoma bernalii,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Geonoma,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Geonoma,bernalii,NA,Especie,A.J.Hend.,NA,ICN,Aceptado,Nombre original validado: Geonoma bernalii,es,EN
gbif.org/species/2734322,gbif.org/species/2734322,Geonoma chlamydostachys,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Geonoma,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Geonoma,chlamydostachys,NA,Especie,Galeano,Geonoma del Magdalena,ICN,Aceptado,Nombre original validado: Geonoma chlamydostachys,es,VU
gbif.org/species/7890594,gbif.org/species/7890594,Geonoma galeanoae,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Geonoma,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Geonoma,galeanoae,NA,Especie,A.J.Hend.,NA,ICN,Aceptado,Nombre original validado: Geonoma galeanoae,es,VU
gbif.org/species/2734046,gbif.org/species/2734046,Geonoma santanderensis,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Geonoma,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Geonoma,santanderensis,NA,Especie,Galeano & R.Bernal,Geonoma de Santander,ICN,Aceptado,Nombre original validado: Geonoma santanderensis,es,VU
gbif.org/species/2736705,gbif.org/species/2736705,Hyospathe frontinensis,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Hyospathe,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Hyospathe,frontinensis,NA,Especie,A.J.Hend.,Guagualín de Frontino,ICN,Aceptado,Nombre original validado: Hyospathe frontinensis | Corrección ortográfica | Mantiene categoría Resolución 1912 de 2017,es,VU
gbif.org/species/2736728,gbif.org/species/2736728,Hyospathe wendlandiana,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Hyospathe,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Hyospathe,wendlandiana,NA,Especie,Dammer ex Burret,Guagualín de Wendland,ICN,Aceptado,Nombre original validado: Hyospathe wendlandiana,es,EN
gbif.org/species/2735440,gbif.org/species/2735440,Oenocarpus circumtextus,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Oenocarpus,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Oenocarpus,circumtextus,NA,Especie,Mart.,Milpesillo de Sabana,ICN,Aceptado,Nombre original validado: Oenocarpus circumtextus,es,VU
gbif.org/species/7738191,gbif.org/species/7738191,Pholidostachys panamensis,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Pholidostachys,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Pholidostachys,panamensis,NA,Especie,A.J.Hend.,NA,ICN,Aceptado,Nombre original validado: Pholidostachys panamensis,es,VU
gbif.org/species/7731539,gbif.org/species/7731539,Pholidostachys sanluisensis,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Pholidostachys,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Pholidostachys,sanluisensis,NA,Especie,A.J.Hend.,NA,ICN,Aceptado,Nombre original validado: Pholidostachys sanluisensis,es,VU
gbif.org/species/2736306,gbif.org/species/2736306,Phytelephas tumacana,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Phytelephas,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Phytelephas,tumacana,NA,Especie,O.F.Cook,Tagua de Tumaco,ICN,Aceptado,Nombre original validado: Phytelephas tumacana,es,EN
gbif.org/species/5294709,gbif.org/species/5294709,Reinhardtia gracilis,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Reinhardtia,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Reinhardtia,gracilis,NA,Especie,(H.Wendl.) Burret,Coquito esbelto,ICN,Aceptado,Nombre original validado: Reinhardtia gracilis,es,CR
gbif.org/species/5294718,gbif.org/species/5294718,Reinhardtia koschnyana,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Reinhardtia,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Reinhardtia,koschnyana,NA,Especie,(H.Wendl. & Dammer) Burret,Coquito enano,ICN,Aceptado,Nombre original validado: Reinhardtia koschnyana,es,CR
gbif.org/species/5294716,gbif.org/species/5294716,Reinhardtia simplex,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Reinhardtia,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Reinhardtia,simplex,NA,Especie,(H.Wendl.) Burret,Coquito simple,ICN,Aceptado,Nombre original validado: Reinhardtia simplex,es,CR
gbif.org/species/2733738,gbif.org/species/2733738,Roystonea oleracea,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Roystonea,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Roystonea,oleracea,NA,Especie,(Jacq.) O.F.Cook,NA,ICN,Aceptado,Nombre original validado: Roystonea oleracea,es,CR
gbif.org/species/9315406,gbif.org/species/9315406,Sabinaria magnifica,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Sabinaria,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Sabinaria,magnifica,NA,Especie,Galeano & R.Bernal,NA,ICN,Aceptado,Nombre original validado: Sabinaria magnifica,es,VU
gbif.org/species/5293840,gbif.org/species/5293840,Syagrus sancona,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Syagrus,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Syagrus,sancona,NA,Especie,(Kunth) H.Karst.,Sarare,ICN,Aceptado,Nombre original validado: Syagrus sancona,es,VU
gbif.org/species/2736958,gbif.org/species/2736958,Wettinia hirsuta,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Wettinia,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Wettinia,hirsuta,NA,Especie,Burret,Gualte Mazorca,ICN,Aceptado,Nombre original validado: Wettinia hirsuta,es,VU
gbif.org/species/2736972,gbif.org/species/2736972,Wettinia microcarpa,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Wettinia,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Wettinia,microcarpa,NA,Especie,(Burret) R.Bernal,Maquenque | Gualte Mapora,ICN,Aceptado,Nombre original validado: Wettinia microcarpa | Nuevo taxón incluido,es,VU
gbif.org/species/166193177,gbif.org/species/166193177,Eucharis caucana,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Amaryllidaceae | Eucharis,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Eucharis,caucana,NA,Especie,Meerow,NA,ICN,Aceptado,Nombre original validado: Eucharis caucana | Nuevo taxón incluido,es,EN
gbif.org/species/5310316,gbif.org/species/5310316,Acineta antioquiae,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Acineta,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Acineta,antioquiae,NA,Especie,Schltr.,NA,ICN,Aceptado,Nombre original validado: Acineta antioquiae | Nuevo taxón incluido,es,CR
gbif.org/species/166231441,gbif.org/species/166231441,Acineta moorei,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Acineta,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Acineta,moorei,NA,Especie,Rolfe,NA,ICN,Aceptado,Nombre original validado: Acineta moorei | Nuevo taxón incluido,es,EN
gbif.org/species/10906134,gbif.org/species/10906134,Andinia monilia,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Andinia,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Andinia,monilia,NA,Especie,(Luer & R.Escobar) Karremans & S.V.Uribe,NA,ICN,Aceptado,Nombre original validado: Andinia monilia | Nuevo taxón incluido,es,EN
gbif.org/species/7697417,gbif.org/species/7697417,Anguloa cliftonii,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Anguloa,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Anguloa,cliftonii,NA,Especie,J.G.Fowler,NA,ICN,Aceptado,Nombre original validado: Anguloa cliftonii | Mantiene categoría Resolución 1912 de 2017,es,CR
gbif.org/species/2812546,gbif.org/species/2812546,Anguloa clowesii,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Anguloa,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Anguloa,clowesii,NA,Especie,Lindl.,Cuna de Venus,ICN,Aceptado,Nombre original validado: Anguloa clowesii,es,EN
gbif.org/species/2812556,gbif.org/species/2812556,Anguloa dubia,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Anguloa,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Anguloa,dubia,NA,Especie,Rchb.f.,NA,ICN,Aceptado,Nombre original validado: Anguloa dubia | Nuevo taxón incluido,es,CR
gbif.org/species/2812559,gbif.org/species/2812559,Anguloa eburnea,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Anguloa,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Anguloa,eburnea,NA,Especie,Linden ex B.S.Williams,NA,ICN,Aceptado,Nombre original validado: Anguloa eburnea,es,VU
gbif.org/species/2812566,gbif.org/species/2812566,Anguloa hohenlohii,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Anguloa,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Anguloa,hohenlohii,NA,Especie,C.Morren,NA,ICN,Aceptado,Nombre original validado: Anguloa hohenlohii,es,EN
gbif.org/species/166232140,gbif.org/species/166232140,Anguloa virginalis,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Anguloa,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Anguloa,virginalis,NA,Especie,B.S.Williams,Cuna de Venus,ICN,Aceptado,Nombre original validado: Anguloa virginalis,es,VU
gbif.org/species/2848969,gbif.org/species/2848969,Byrsella fragrans,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Byrsella,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Byrsella,fragrans,NA,Especie,(Woolward) Luer,NA,ICN,Sinónimo,Nombre original validado: Byrsella fragrans | Actualización nomenclatural: Resolución 1912 de 2017: Masdevallia fragrans Resolución actual: Brysella fragrans | Mantiene categoría Resolución 1912 de 2017,es,EN
gbif.org/species/2801202,gbif.org/species/2801202,Cattleya dowiana,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Cattleya,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Cattleya,dowiana,NA,Especie,Bateman & Rchb.f.,NA,ICN,Aceptado,Nombre original validado: Cattleya dowiana,es,VU
gbif.org/species/7702769,gbif.org/species/7702769,Cattleya quadricolor,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Cattleya,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Cattleya,quadricolor,NA,Especie,B.S.Williams,NA,ICN,Aceptado,Nombre original validado: Cattleya quadricolor | Mantiene categoría Resolución 1912 de 2017,es,EN
gbif.org/species/2801054,gbif.org/species/2801054,Cattleya schroederae,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Cattleya,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Cattleya,schroederae,NA,Especie,(Rchb.f.) Sander,NA,ICN,Aceptado,Nombre original validado: Cattleya schroederae | Pasa de VU a EN,es,EN
gbif.org/species/4935172,gbif.org/species/4935172,Cattleya trianae,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Cattleya,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Cattleya,trianae,NA,Especie,Linden & Rchb.f.,Flor de mayo | Catleya | Catleya blanca | Catleya de Triana | Flor de mayo | Flor de San Juan | Flor nacional | Lirio de mayo | Orquídea,ICN,Aceptado,Nombre original validado: Cattleya trianae | Mantiene categoría Resolución 1912 de 2017,es,EN
gbif.org/species/2801043,gbif.org/species/2801043,Cattleya warscewiczii,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Cattleya,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Cattleya,warscewiczii,NA,Especie,Rchb.f.,Flor de San Juan | Flor de San Roque | Lirio,ICN,Aceptado,Nombre original validado: Cattleya warscewiczii | Pasa de VU a EN,es,EN
gbif.org/species/2796017,gbif.org/species/2796017,Comparettia ignea,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Comparettia,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Comparettia,ignea,NA,Especie,P.Ortiz,NA,ICN,Aceptado,Nombre original validado: Comparettia ignea,es,CR
gbif.org/species/2795687,gbif.org/species/2795687,Coryanthes toulemondiana,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Coryanthes,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Coryanthes,toulemondiana,NA,Especie,G.Gerlach & T.Franke,NA,ICN,Aceptado,Nombre original validado: Coryanthes toulemondiana | Pasa de VU a CR,es,CR
gbif.org/species/2795689,gbif.org/species/2795689,Coryanthes vieirae,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Coryanthes,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Coryanthes,vieirae,NA,Especie,G.Gerlach,NA,ICN,Aceptado,Nombre original validado: Coryanthes vieirae,es,CR
gbif.org/species/2795704,gbif.org/species/2795704,Coryanthes villegasiana,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Coryanthes,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Coryanthes,villegasiana,NA,Especie,Peláez,NA,ICN,Aceptado,Nombre original validado: Coryanthes villegasiana | Pasa de VU a CR,es,CR
gbif.org/species/2783305,gbif.org/species/2783305,Cycnoches barthiorum,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Asparagales | Orchidaceae | Cycnoches,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Cycnoches,barthiorum,NA,Especie,G.F.Carr & Christenson,NA,ICN,Aceptado,Nombre original validado: Cycnoches barthiorum,es,VU
